2026-04-23 16:42:52,260 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:42:53,580 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:42:53,580 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:47:49,210 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17674
2026-04-23 16:47:51,431 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:47:53,303 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=49, threshold=70, htf=0, liquidity=2, zone=20, news=12, session=15
2026-04-23 16:47:55,023 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:47:55,023 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:52:49,424 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17674
2026-04-23 16:52:51,571 | INFO | core.signal_engine | [GBPUSD] filtered at scoring: score below threshold | score=66, threshold=70, htf=12, liquidity=12, zone=20, news=7, session=15
2026-04-23 16:52:53,361 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=54, threshold=70, htf=0, liquidity=12, zone=20, news=7, session=15
2026-04-23 16:52:54,710 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:52:54,710 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:57:49,374 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17674
2026-04-23 16:57:51,208 | INFO | core.signal_engine | [GBPUSD] filtered at scoring: score below threshold | score=61, threshold=70, htf=12, liquidity=2, zone=20, news=12, session=15
2026-04-23 16:57:52,998 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=59, threshold=70, htf=0, liquidity=12, zone=20, news=12, session=15
2026-04-23 16:57:54,597 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:57:54,597 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 17:02:49,771 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17674
2026-04-23 17:02:52,317 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:02:54,601 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=49, threshold=70, htf=0, liquidity=2, zone=20, news=7, session=20
2026-04-23 17:02:56,360 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:02:56,360 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 17:07:49,198 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17674
2026-04-23 17:07:51,009 | INFO | core.signal_engine | [GBPUSD] filtered at scoring: score below threshold | score=66, threshold=70, htf=12, liquidity=2, zone=20, news=12, session=20
2026-04-23 17:07:52,756 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=54, threshold=70, htf=0, liquidity=2, zone=20, news=12, session=20
2026-04-23 17:07:54,226 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:07:54,226 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 17:12:49,358 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
2026-04-23 17:12:51,735 | INFO | core.signal_engine | [GBPUSD] filtered at scoring: score below threshold | score=61, threshold=70, htf=12, liquidity=2, zone=20, news=7, session=20
2026-04-23 17:13:01,759 | ERROR | yfinance | 
1 Failed download:
2026-04-23 17:13:01,759 | ERROR | yfinance | ['USDJPY=X']: Timeout('Failed to perform, curl: (28) Operation timed out after 10001 milliseconds with 253711 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.')
2026-04-23 17:13:01,762 | WARNING | core.signal_engine | [USDJPY] filtered at data: market data error | No market data for USDJPY H1
2026-04-23 17:13:04,236 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:13:04,236 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 17:17:49,276 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
2026-04-23 17:17:51,019 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:17:53,901 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=49, threshold=70, htf=0, liquidity=2, zone=20, news=7, session=20
2026-04-23 17:17:55,223 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 17:17:55,223 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 17:22:49,353 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
2026-04-23 17:22:51,368 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:22:53,162 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=54, threshold=70, htf=0, liquidity=2, zone=20, news=12, session=20
2026-04-23 17:22:54,947 | INFO | core.signal_engine | [GBPJPY] filtered at scoring: score below threshold | score=54, threshold=70, htf=0, liquidity=2, zone=20, news=12, session=20
2026-04-23 17:22:54,947 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 17:27:49,260 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
2026-04-23 17:27:53,219 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:27:54,867 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=49, threshold=70, htf=0, liquidity=2, zone=20, news=7, session=20
2026-04-23 17:27:56,610 | INFO | core.signal_engine | [GBPJPY] filtered at scoring: score below threshold | score=49, threshold=70, htf=0, liquidity=2, zone=20, news=7, session=20
2026-04-23 17:27:56,610 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 17:32:49,478 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
2026-04-23 17:32:51,267 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:32:53,187 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=54, threshold=70, htf=0, liquidity=2, zone=20, news=12, session=20
2026-04-23 17:32:55,029 | INFO | core.signal_engine | [GBPJPY] filtered at scoring: score below threshold | score=54, threshold=70, htf=0, liquidity=2, zone=20, news=12, session=20
2026-04-23 17:32:55,030 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 17:37:49,315 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
2026-04-23 17:37:51,126 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 17:37:53,191 | INFO | core.signal_engine | [USDJPY] filtered at scoring: score below threshold | score=49, threshold=70, htf=0, liquidity=2, zone=20, news=7, session=20
